키워드,월간검색수PC,월간검색수MO,월평균클릭수PC,월평균클릭수MO,월평균클릭률PC,월평균클릭률MO,경쟁정도,"월평균노출
광고수"
['고양이'],"35,900","126,000",127.7,2856.7,0.38%,2.44%,높음,15
['강아지'],"31,100","124,800",140.5,2770.7,0.48%,2.36%,높음,15
['개'],"5,600","31,900",3.3,10,0.07%,0.04%,높음,3
['헤어'],"2,530","17,500",1.8,2.7,0.08%,0.02%,높음,15
